IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,ME62271,ME62152,ME62215,ME62143,ME62230,ME62095,ME62076,ME62030,ME62171,ME62301,ME62194,ME62344,ME62320,ME62296,ME62271_S,ME62152_S,ME62215_S,ME62143_S,ME62230_S,ME62095_S,ME62076_S,ME62030_S,ME62171_S,ME62301_S,ME62194_S,ME62344_S,ME62320_S,ME62296_S,BSBG01,BSBGHER,BSBGSSB,BSBGSB,BSBGSLM,BSBGICM,BSBGDML,BSBGSCM,BSBGSVM,BSBGSEC,BSBG01_Z,BSBGHER_Z,BSBGSSB_Z,BSBGSB_Z,BSBGSLM_Z,BSBGICM_Z,BSBGDML_Z,BSBGSCM_Z,BSBGSVM_Z,BSBGSEC_Z
158,10,5001,500101,50010107,1,0,0,0,0,1,1,1,1,0,1,0,0,0,52.888,109.071,55.609,37.349,25.043,30.744,34.512,69.441,21.823,52.721,27.735,31.312,68.512,49.672,2,8.3581,8.89725,8.35784,7.95043,10.92487,7.41866,8.99736,6.48714,8.52147,1,-1.25085065,-0.200345413,-1.447439113,-0.695157608,0.578081393,-1.518798238,-0.068139359,-0.938321298,0.007883725
158,11,5001,500101,50010108,0,0,0,0,1,0,1,1,0,0,1,1,1,0,36.252,73.368,32.187,52.616,8.773,16.628,40.417,37.444,12.584,25.751,63.856,60.561,37.39,46.018,2,9.64761,8.08091,12.93734,8.76139,8.82274,14.67371,8.51577,6.90631,10.1686,1,-0.448697366,-0.675724696,1.062742058,-0.250312475,-0.484273509,1.99930801,-0.276248362,-0.712210896,0.8325636
158,10,5002,500203,50020306,1,1,0,0,1,0,1,1,1,1,1,1,1,1,15.12,89.065,94.759,70.751,9.689,29.959,15.984,48.64,14.776,29.288,86.039,38.776,35.584,43.423,2,9.64761,11.62252,9.56975,10.05658,10.38389,10.31153,9.6723,7.91135,12.56518,1,-0.448697366,1.386661104,-0.783149635,0.46015286,0.304685954,-0.115992741,0.223521786,-0.170068095,2.032475748
158,11,5002,500203,50020307,0,1,0,0,1,1,0,1,0,0,1,0,1,1,22.516,61.999,87.577,37.232,24.111,34.528,60.216,36.512,10.56,40.824,38.672,71.223,33.552,42.69,2,8.3581,8.89725,7.34528,8.37412,9.92675,9.71101,6.95612,7.91135,7.53407,1,-1.25085065,-0.200345413,-2.002458012,-0.462746103,0.073660794,-0.407195857,-0.95021835,-0.170068095,-0.486484606
158,10,5002,500203,50020322,0,1,1,0,1,1,1,1,0,0,1,0,0,0,17.928,58.287,330.413,151.255,17.543,39.754,17.071,93.089,18.664,84.949,46.515,91.318,45.431,80.008,1,10.23835,10.70956,9.92809,8.76139,9.52219,9.99445,7.97991,7.91135,12.56518,0,-0.081221325,0.855017095,-0.586731179,-0.250312475,-0.130791975,-0.269750624,-0.507809006,-0.170068095,2.032475748
158,11,5003,500308,50030803,0,1,1,0,1,1,1,1,1,1,1,1,1,1,29.172,30.613,96.905,41.024,25.042,30.471,20.72,77.561,23.896,42.51,47.08,30.632,128.842,207.088,2,13.51543,11.62252,12.93734,8.76139,8.82274,10.31153,8.76168,9.65438,8.09086,1,1.957320822,1.386661104,1.062742058,-0.250312475,-0.484273509,-0.115992741,-0.16998352,0.770164301,-0.207712738
158,10,5003,500308,50030818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.158,46.399,170.325,62.222,43.375,84.854,31.289,221.28,27.981,106.274,115.638,30.435,86.556,92.224,1,11.48712,8.89725,8.22128,9.86638,7.98224,8.70559,9.6723,7.30474,8.09086,0,0.695589213,-0.200345413,-1.522292337,0.355820286,-0.909037579,-0.894742377,0.223521786,-0.497288151,-0.207712738
158,11,5003,500308,50030819,0,1,1,1,0,1,1,1,1,1,1,1,1,1,50.057,62.097,159.929,54.394,18.7,28.179,17.693,107.652,24.733,86.472,147.968,50.904,108.426,52.957,1,10.84499,7.73555,9.56975,5.09484,6.55198,9.99445,9.22591,8.82228,8.99128,0,0.29614548,-0.87683819,-0.783149635,-2.261566942,-1.631849072,-0.269750624,0.030623723,0.321309504,0.24310672
158,11,5004,500407,50040707,1,1,1,0,1,1,1,1,1,1,1,1,1,1,25.478,28.414,80.495,53.184,15.04,29.358,13.2,49.344,10.666,40.076,79.644,32.228,26.879,52.847,2,11.48712,8.46096,9.56975,11.42832,10.38389,10.31153,9.89515,8.12441,8.09086,1,0.695589213,-0.454410175,-0.783149635,1.212609039,0.304685954,-0.115992741,0.319821733,-0.055138395,-0.207712738
158,10,5004,500407,50040722,1,1,1,1,0,0,1,1,1,0,1,1,1,1,29.447,76.36,384.56,142.501,61.53,63.479,19.596,78.439,25.024,41.537,38.271,45.716,40.191,67.062,1,8.99877,10.00496,11.18784,10.25252,10.92487,11.61733,9.22591,8.57829,9.52551,0,-0.852315126,0.444707367,0.103781045,0.567634062,0.578081393,0.517213527,0.030623723,0.189695417,0.510583319
